sa_factor,tally_factor,scaled_useconds,scaled_mem
1,1,3.8851267165228713,359.1443989621204
1,8,5.151000586361875,136.3935087791692
1,32,5.6787278156367345,107.71172961865767
1,128,7.003252193178232,99.39261220535904
1,512,13.962348865046424,97.20856474637559
4,1,3.8402484061821225,289.918750093009
4,8,5.231418124096055,67.16785991005725
4,32,5.759898890296992,38.486080749545444
4,128,7.1875536956679555,30.166963336247186
4,512,14.421851362418275,27.98291587726333
16,1,4.156777909135252,271.1339026150157
16,8,5.705795435031325,48.38301243206442
16,32,6.360670023128127,19.70123327155262
16,128,8.008538493160428,11.382115858254263
16,512,16.1984229492177,9.198068399270507
64,1,5.301117076812635,266.4122760446521
64,8,7.5036243880082685,43.66138586170039
64,32,8.479283657199785,14.979606701188327
64,128,10.994586194113468,6.660489287889965
64,512,22.716754930531817,4.47644182890621
256,1,8.948084710464357,265.2558314691538
256,8,13.195426338771904,42.504941286201195
256,32,15.158722807423574,13.823162125689421
256,128,20.531914945517816,5.5040447123909875
256,512,44.475544316274224,3.319997253407263
